Hz,175n,175m,175S,175Son
61.0,9.867889e-10,8.887591e-10,1.077039e-09,1.039212e-09
61.5,9.254966e-10,8.992521e-10,9.890404e-10,8.738697e-10
62.0,8.531163e-10,9.439733e-10,9.261318e-10,9.249448e-10
62.5,8.187578e-10,1.058196e-09,9.671589e-10,9.35813e-10
63.0,8.872214e-10,9.913141e-10,9.422312e-10,1.016287e-09
63.5,1.043221e-09,9.446446e-10,9.48113e-10,1.055006e-09
64.0,9.142417e-10,9.287303e-10,8.397354e-10,1.027863e-09
64.5,8.786958e-10,8.544561e-10,8.814019e-10,9.674785e-10
65.0,8.85734e-10,8.316263e-10,8.988209e-10,8.523723e-10
65.5,9.662848e-10,9.204915e-10,7.672527e-10,8.924992e-10
66.0,1.085812e-09,9.638836e-10,7.556807e-10,9.520664e-10
66.5,8.714031e-10,8.877098e-10,8.10877e-10,8.607509e-10
67.0,9.192985e-10,9.826137e-10,7.800648e-10,8.56442e-10
67.5,9.909352e-10,9.220922e-10,8.732037e-10,8.767868e-10
68.0,9.418238e-10,9.029428e-10,7.45393e-10,8.075249e-10
68.5,9.420411e-10,8.347057e-10,7.602521e-10,7.506577e-10
69.0,9.448109e-10,7.37271e-10,7.581412e-10,8.574934e-10
69.5,9.287158e-10,6.841373e-10,9.408873e-10,8.608243e-10
70.0,8.009466e-10,6.755895e-10,9.594628e-10,8.976373e-10
70.5,7.924689e-10,7.387777e-10,8.082204e-10,7.648853e-10
71.0,8.880678e-10,8.155933e-10,8.063868e-10,7.297177e-10
71.5,8.836643e-10,7.181469e-10,7.641929e-10,7.748092e-10
72.0,7.540397e-10,7.422108e-10,6.94201e-10,6.435188e-10
72.5,7.06678e-10,6.604054e-10,7.190774e-10,6.412805e-10
73.0,7.517566e-10,6.795239e-10,6.861564e-10,6.897706e-10
73.5,7.042855e-10,6.99647e-10,6.309546e-10,6.045088e-10
74.0,5.74052e-10,6.899825e-10,7.67289e-10,7.366017e-10
74.5,5.860757e-10,6.678207e-10,8.320384e-10,7.666195e-10
75.0,7.298711e-10,6.203004e-10,8.000261e-10,6.744478e-10
75.5,8.137085e-10,6.120812e-10,8.477601e-10,7.003285e-10
