Hz,113NE,113NW,113SW,113M,113SE
69.5,8.18131e-10,8.345594e-10,9.06372e-10,6.946456e-10,7.676433e-10
70.0,7.472516e-10,8.059259e-10,8.306e-10,7.24434e-10,8.595478e-10
70.5,6.772092e-10,8.190992e-10,7.682003e-10,6.792637e-10,7.701517e-10
71.0,7.625496e-10,7.405753e-10,7.232964e-10,7.44409e-10,7.205351e-10
71.5,6.765177e-10,7.03202e-10,6.579708e-10,7.860746e-10,7.828507e-10
72.0,8.441108e-10,7.771628e-10,7.964153e-10,7.685144e-10,7.502218e-10
72.5,7.809312e-10,7.957724e-10,8.589946e-10,8.040944e-10,8.347108e-10
73.0,8.057247e-10,7.237895e-10,7.511514e-10,7.927199e-10,8.455686e-10
73.5,8.676859e-10,7.628621e-10,7.152741e-10,6.951225e-10,7.35895e-10
74.0,8.234832e-10,6.960714e-10,6.849432e-10,6.489343e-10,6.439327e-10
74.5,7.478849e-10,7.064866e-10,6.333119e-10,5.714647e-10,7.241566e-10
75.0,7.618847e-10,6.878981e-10,6.911098e-10,6.57558e-10,7.494899e-10
75.5,7.371015e-10,5.527818e-10,7.630068e-10,7.855337e-10,6.725242e-10
76.0,7.217195e-10,5.949095e-10,6.658031e-10,7.148794e-10,6.226964e-10
76.5,7.272367e-10,7.351907e-10,6.391297e-10,7.277075e-10,7.330167e-10
77.0,7.447231e-10,7.599103e-10,6.100663e-10,7.276668e-10,6.960522e-10
77.5,6.808633e-10,6.542863e-10,6.290785e-10,7.083893e-10,7.558987e-10
78.0,7.503767e-10,6.710313e-10,7.393107e-10,5.764527e-10,6.972591e-10
78.5,6.915159e-10,6.949504e-10,7.464585e-10,6.266061e-10,5.563695e-10
79.0,5.386284e-10,7.501839e-10,5.637734e-10,6.477698e-10,6.512175e-10
79.5,5.930705e-10,6.398335e-10,5.773887e-10,6.795354e-10,7.213438e-10
80.0,6.729762e-10,6.567506e-10,6.107005e-10,6.53232e-10,7.077132e-10
80.5,5.95922e-10,5.98577e-10,6.52609e-10,6.127589e-10,6.308051e-10
81.0,5.54608e-10,5.495451e-10,5.654286e-10,6.872762e-10,6.334347e-10
81.5,6.598164e-10,6.410718e-10,6.65111e-10,6.58878e-10,7.5551e-10
82.0,6.021643e-10,6.138823e-10,6.734566e-10,7.384923e-10,6.800925e-10
82.5,5.162812e-10,6.138086e-10,6.484303e-10,7.697049e-10,5.97241e-10
83.0,5.669325e-10,6.246457e-10,6.373436e-10,7.071157e-10,6.112063e-10
