Hz,173N,173m,73mFOn,173S,173nfo
57.5,1.082162e-09,1.132988e-09,1.049421e-09,1.044604e-09,1.105561e-09
58.0,9.323755e-10,1.006386e-09,1.099785e-09,9.810038e-10,1.099534e-09
58.5,9.861583e-10,9.93323e-10,1.031701e-09,1.069144e-09,1.078838e-09
59.0,1.100563e-09,8.604861e-10,1.090835e-09,9.721951e-10,1.030114e-09
59.5,1.104576e-09,9.33152e-10,1.115072e-09,1.133564e-09,1.018913e-09
60.0,9.973764e-10,9.819856e-10,1.054045e-09,1.670067e-09,9.806919e-10
60.5,1.019015e-09,1.117517e-09,9.457269e-10,1.248443e-09,1.082823e-09
61.0,1.000374e-09,1.064713e-09,8.307471e-10,1.061808e-09,1.135034e-09
61.5,1.031531e-09,9.631571e-10,1.089355e-09,8.795376e-10,1.000678e-09
62.0,1.003032e-09,9.674849e-10,1.040958e-09,8.782949e-10,9.702117e-10
62.5,1.001384e-09,1.082143e-09,1.08327e-09,1.036233e-09,9.18301e-10
63.0,1.041194e-09,9.619706e-10,1.096052e-09,9.061582e-10,9.095594e-10
63.5,1.122178e-09,9.858514e-10,9.765266e-10,8.992022e-10,9.399557e-10
64.0,8.836876e-10,9.11835e-10,8.204805e-10,8.826958e-10,1.032153e-09
64.5,9.258121e-10,7.99195e-10,8.576498e-10,8.76606e-10,1.032845e-09
65.0,9.063019e-10,9.375165e-10,1.027641e-09,8.271555e-10,8.924103e-10
65.5,8.394075e-10,1.005271e-09,1.051831e-09,8.711913e-10,8.89583e-10
66.0,9.193973e-10,8.232217e-10,9.063389e-10,9.139305e-10,9.108223e-10
66.5,9.248654e-10,8.762621e-10,8.114763e-10,8.576524e-10,8.042627e-10
67.0,7.743888e-10,8.765964e-10,8.984093e-10,8.862604e-10,8.032028e-10
67.5,7.986939e-10,9.227737e-10,8.697268e-10,8.512807e-10,8.942792e-10
68.0,8.808004e-10,8.987058e-10,7.385473e-10,7.460846e-10,8.366864e-10
68.5,9.0083e-10,9.208146e-10,8.043078e-10,7.45182e-10,8.191803e-10
69.0,8.905692e-10,9.387985e-10,8.845916e-10,7.122556e-10,9.182455e-10
69.5,7.491625e-10,8.09278e-10,7.632058e-10,8.724873e-10,8.953928e-10
70.0,6.76884e-10,8.767362e-10,7.558639e-10,8.732481e-10,8.097232e-10
70.5,7.450964e-10,8.205042e-10,7.844936e-10,7.794196e-10,8.077516e-10
71.0,7.094434e-10,8.447953e-10,7.690681e-10,7.789993e-10,8.226219e-10
71.5,7.662099e-10,9.362734e-10,7.323561e-10,7.312415e-10,8.406846e-10
72.0,8.345492e-10,8.59316e-10,6.589747e-10,6.660506e-10,7.919637e-10
72.5,7.230107e-10,8.208458e-10,7.84139e-10,7.267737e-10,6.908448e-10
73.0,7.853076e-10,8.072167e-10,8.186797e-10,6.509903e-10,6.582063e-10
73.5,8.571253e-10,7.945495e-10,7.384132e-10,7.23928e-10,7.63793e-10
74.0,7.610528e-10,8.245099e-10,7.037961e-10,8.220912e-10,7.087021e-10
74.5,8.108271e-10,8.470964e-10,7.089805e-10,7.09535e-10,6.35987e-10
75.0,8.203978e-10,7.605216e-10,8.253922e-10,7.130307e-10,7.875524e-10
75.5,7.185345e-10,7.981882e-10,8.184863e-10,6.977433e-10,7.307428e-10
76.0,7.112301e-10,7.112562e-10,7.45897e-10,6.76454e-10,6.302056e-10
76.5,6.639059e-10,7.045096e-10,7.367819e-10,7.330458e-10,6.37106e-10
77.0,6.776624e-10,7.040978e-10,7.358155e-10,6.763024e-10,6.18205e-10
77.5,6.211703e-10,7.500389e-10,6.822844e-10,7.644095e-10,6.604574e-10
78.0,6.183455e-10,7.825384e-10,6.802834e-10,7.696501e-10,6.152697e-10
78.5,6.306259e-10,6.95352e-10,6.717661e-10,7.409945e-10,6.045336e-10
79.0,7.031812e-10,5.837931e-10,7.138632e-10,6.806292e-10,6.608084e-10
79.5,7.171941e-10,5.856585e-10,6.483762e-10,6.537542e-10,7.312263e-10
80.0,6.942918e-10,5.821714e-10,7.108191e-10,6.241955e-10,6.199767e-10
80.5,7.014674e-10,5.942837e-10,7.645474e-10,6.978957e-10,6.805432e-10
81.0,5.959183e-10,6.734717e-10,7.035927e-10,6.878825e-10,7.567552e-10
81.5,7.236913e-10,7.105022e-10,6.517923e-10,6.189381e-10,6.61886e-10
82.0,7.562697e-10,6.384283e-10,7.152093e-10,6.050461e-10,6.983933e-10
82.5,6.735058e-10,5.39656e-10,6.720392e-10,5.66124e-10,7.078079e-10
83.0,6.186276e-10,6.217052e-10,6.070411e-10,6.71131e-10,6.591418e-10
83.5,7.455403e-10,6.666692e-10,6.295157e-10,7.147161e-10,6.561715e-10
84.0,7.340336e-10,7.341303e-10,6.281043e-10,5.85141e-10,5.970104e-10
84.5,5.717363e-10,6.517084e-10,5.549973e-10,5.968654e-10,6.05208e-10
85.0,5.908642e-10,7.099125e-10,5.935323e-10,6.055914e-10,6.097631e-10
85.5,5.833374e-10,7.017899e-10,6.105937e-10,5.517839e-10,5.564393e-10
86.0,6.358616e-10,5.773838e-10,5.597122e-10,5.526978e-10,5.220268e-10
86.5,5.858305e-10,6.523572e-10,5.74083e-10,5.723476e-10,5.678091e-10
87.0,5.752371e-10,6.271824e-10,6.01749e-10,5.474086e-10,6.379679e-10
87.5,7.077826e-10,6.446212e-10,6.313128e-10,5.562374e-10,5.926072e-10
88.0,6.464904e-10,5.400386e-10,6.192041e-10,6.263164e-10,5.20984e-10
88.5,5.300002e-10,5.290515e-10,6.487779e-10,5.562839e-10,5.024624e-10
89.0,6.431996e-10,5.158312e-10,5.495503e-10,5.735681e-10,4.761843e-10
89.5,5.734212e-10,6.286484e-10,5.181287e-10,5.489345e-10,5.292638e-10
90.0,5.053801e-10,6.863904e-10,5.628326e-10,5.523427e-10,5.68321e-10
90.5,5.91603e-10,6.45149e-10,4.693631e-10,5.180967e-10,6.153568e-10
91.0,6.483655e-10,6.283448e-10,5.781613e-10,5.002885e-10,5.368109e-10
91.5,6.886567e-10,6.285406e-10,6.606271e-10,5.497598e-10,5.87227e-10
92.0,5.282241e-10,6.546799e-10,6.426436e-10,5.670936e-10,5.657694e-10
92.5,5.802862e-10,6.196191e-10,6.629623e-10,5.888141e-10,5.465728e-10
93.0,6.543657e-10,7.120239e-10,7.121337e-10,5.628296e-10,4.842112e-10
93.5,6.74424e-10,6.600234e-10,6.794679e-10,5.611854e-10,4.909013e-10
94.0,6.524327e-10,5.933429e-10,6.568862e-10,5.368525e-10,5.406411e-10
94.5,5.796819e-10,7.13436e-10,6.518396e-10,5.399199e-10,5.658394e-10
95.0,5.445554e-10,8.14377e-10,6.932185e-10,4.976342e-10,4.916263e-10
95.5,5.838186e-10,6.81854e-10,5.968268e-10,4.58706e-10,4.95438e-10
96.0,5.780786e-10,7.643058e-10,6.413833e-10,4.717014e-10,4.544842e-10
96.5,6.132808e-10,8.200667e-10,6.937875e-10,5.518885e-10,5.320845e-10
97.0,7.266138e-10,8.359662e-10,7.404116e-10,5.142562e-10,5.372262e-10
97.5,7.259531e-10,7.476575e-10,6.89824e-10,4.945673e-10,5.200513e-10
98.0,7.511739e-10,7.832696e-10,7.351951e-10,5.252241e-10,4.751048e-10
98.5,7.528306e-10,8.243682e-10,7.286658e-10,5.014194e-10,4.847792e-10
99.0,7.45195e-10,7.554153e-10,7.223968e-10,5.126466e-10,4.328848e-10
99.5,6.71916e-10,8.06778e-10,7.554851e-10,5.35221e-10,4.622464e-10
100.0,7.162841e-10,8.328792e-10,8.8191e-10,5.308524e-10,4.63285e-10
100.5,7.016858e-10,8.560749e-10,8.290826e-10,5.104062e-10,4.890693e-10
101.0,6.358079e-10,8.823045e-10,8.404913e-10,5.083456e-10,5.268701e-10
101.5,7.626945e-10,7.688301e-10,9.202217e-10,4.733336e-10,4.798492e-10
102.0,7.591293e-10,8.675293e-10,8.867747e-10,4.643704e-10,4.856244e-10
102.5,8.743976e-10,9.139251e-10,9.793959e-10,4.509685e-10,5.281129e-10
103.0,7.918896e-10,9.372456e-10,9.133176e-10,4.527591e-10,5.240308e-10
103.5,8.283362e-10,8.066346e-10,8.910154e-10,4.768991e-10,3.938629e-10
104.0,9.352198e-10,7.316904e-10,9.729179e-10,5.292458e-10,3.746611e-10
104.5,8.098768e-10,8.540902e-10,8.86853e-10,5.352832e-10,3.831821e-10
105.0,7.415439e-10,8.348698e-10,8.360279e-10,5.318876e-10,3.790479e-10
105.5,6.837208e-10,8.348102e-10,8.71076e-10,5.128058e-10,4.261214e-10
106.0,7.613115e-10,7.136585e-10,9.385265e-10,5.836431e-10,4.697026e-10
106.5,7.343904e-10,7.028288e-10,8.5564e-10,5.232955e-10,4.39777e-10
107.0,7.769381e-10,7.476412e-10,8.556244e-10,5.80795e-10,4.321689e-10
107.5,7.756417e-10,8.428516e-10,8.678199e-10,5.6948e-10,4.3739e-10
108.0,6.938471e-10,7.420309e-10,7.125115e-10,5.181302e-10,4.108897e-10
108.5,6.023034e-10,6.764256e-10,8.585253e-10,5.280528e-10,4.762393e-10
109.0,7.073978e-10,7.642531e-10,8.771562e-10,5.970641e-10,5.307426e-10
109.5,7.53579e-10,7.543583e-10,7.741795e-10,6.032694e-10,4.454272e-10
110.0,6.17573e-10,5.835724e-10,7.327106e-10,5.324917e-10,4.410507e-10
110.5,5.644397e-10,6.101869e-10,7.516698e-10,4.891104e-10,4.82932e-10
111.0,5.701835e-10,6.491304e-10,6.749897e-10,4.971095e-10,4.767653e-10
111.5,5.786758e-10,6.100547e-10,6.104677e-10,5.442169e-10,4.478554e-10
112.0,5.353581e-10,6.115042e-10,5.188686e-10,6.147006e-10,4.374521e-10
112.5,5.642829e-10,6.422081e-10,5.23047e-10,6.970294e-10,4.188402e-10
113.0,6.430056e-10,6.149155e-10,5.313143e-10,7.253477e-10,4.391908e-10
113.5,5.782543e-10,4.964836e-10,5.229383e-10,5.804485e-10,4.145152e-10
114.0,4.70282e-10,4.395829e-10,5.417767e-10,6.263982e-10,4.172708e-10
114.5,4.975965e-10,4.634995e-10,4.996965e-10,7.109131e-10,4.426743e-10
115.0,5.593376e-10,4.661136e-10,4.563863e-10,7.291982e-10,3.504156e-10
115.5,5.265561e-10,5.004144e-10,4.22922e-10,7.298538e-10,3.878176e-10
116.0,5.46883e-10,4.830039e-10,4.794642e-10,7.810023e-10,3.808454e-10
116.5,5.765616e-10,4.293795e-10,5.084467e-10,7.288377e-10,3.526794e-10
117.0,5.961127e-10,3.678092e-10,4.694679e-10,7.783828e-10,4.024986e-10
117.5,6.109619e-10,4.322305e-10,4.728581e-10,7.718533e-10,3.839479e-10
118.0,6.286086e-10,4.697029e-10,4.626227e-10,7.075939e-10,3.555269e-10
118.5,5.31554e-10,4.767723e-10,4.091027e-10,8.163517e-10,3.999536e-10
119.0,5.025571e-10,4.768234e-10,4.264427e-10,8.073622e-10,4.24982e-10
119.5,5.558214e-10,4.476198e-10,4.56862e-10,7.522286e-10,3.835666e-10
120.0,5.61374e-10,4.364422e-10,3.60785e-10,7.09551e-10,4.085681e-10
120.5,5.311387e-10,4.435184e-10,3.719632e-10,7.119861e-10,4.347032e-10
121.0,6.252298e-10,4.02684e-10,4.09922e-10,7.618869e-10,4.693231e-10
121.5,6.382576e-10,4.008253e-10,4.118712e-10,7.297565e-10,4.604114e-10
122.0,6.693583e-10,3.923245e-10,3.683105e-10,6.520498e-10,4.821369e-10
122.5,5.284335e-10,3.878189e-10,3.193678e-10,7.2978e-10,4.763936e-10
123.0,4.096123e-10,4.288503e-10,3.181615e-10,7.161675e-10,5.505778e-10
123.5,4.615087e-10,4.61893e-10,3.530083e-10,7.16368e-10,5.750711e-10
124.0,4.749132e-10,4.241817e-10,3.74166e-10,7.189247e-10,6.097369e-10
124.5,4.807894e-10,4.063857e-10,3.878813e-10,7.245109e-10,5.671027e-10
125.0,4.303411e-10,4.207036e-10,3.784991e-10,6.964013e-10,5.149187e-10
125.5,3.694036e-10,4.533428e-10,3.846343e-10,5.202765e-10,5.864786e-10
126.0,3.982273e-10,3.86347e-10,3.664721e-10,5.042801e-10,6.646098e-10
126.5,4.389704e-10,3.895031e-10,3.604844e-10,5.585203e-10,6.41925e-10
127.0,4.597578e-10,3.891587e-10,3.342576e-10,4.709196e-10,6.367628e-10
127.5,4.215337e-10,3.689722e-10,3.51738e-10,4.652094e-10,7.284184e-10
128.0,4.122227e-10,3.42695e-10,3.658393e-10,4.551833e-10,8.352455e-10
128.5,4.025638e-10,3.895136e-10,3.316468e-10,4.175729e-10,7.776628e-10
129.0,3.670562e-10,3.886063e-10,3.35697e-10,4.998411e-10,6.872413e-10
129.5,3.162812e-10,3.624215e-10,3.287254e-10,4.478312e-10,7.108682e-10
130.0,3.267488e-10,3.527399e-10,3.348672e-10,4.055385e-10,7.470251e-10
130.5,3.164635e-10,3.377185e-10,3.151508e-10,3.987343e-10,7.593133e-10
131.0,3.595207e-10,3.400758e-10,3.54222e-10,3.832233e-10,6.864785e-10
131.5,3.75676e-10,3.442056e-10,3.569978e-10,3.749896e-10,6.942103e-10
132.0,3.576509e-10,3.672916e-10,3.50419e-10,3.89404e-10,6.984672e-10
132.5,3.52899e-10,3.561253e-10,3.407946e-10,3.601671e-10,7.208327e-10
133.0,3.213615e-10,3.502063e-10,3.154171e-10,2.979165e-10,7.134177e-10
133.5,2.876259e-10,3.384282e-10,3.055521e-10,3.465934e-10,6.996014e-10
134.0,2.976113e-10,2.910669e-10,3.171519e-10,3.809351e-10,6.229817e-10
134.5,3.281365e-10,3.246211e-10,3.320353e-10,3.357843e-10,6.241151e-10
135.0,3.401607e-10,3.359332e-10,3.580046e-10,3.201301e-10,6.481837e-10
135.5,3.053917e-10,3.265308e-10,3.695126e-10,3.529699e-10,5.551586e-10
