Hz,180N,180m,180s,180NE
387.5,7.882175e-11,7.626511e-11,8.078932e-11,7.473318e-11
388.0,7.722837e-11,7.428469e-11,8.183733e-11,7.289351e-11
388.5,6.96459e-11,7.913215e-11,7.363029e-11,6.978519e-11
389.0,7.258469e-11,8.381347e-11,7.013753e-11,7.673113e-11
389.5,7.686897e-11,7.59378e-11,8.028431e-11,7.218617e-11
390.0,8.193497e-11,7.518873e-11,8.4718e-11,7.957041e-11
390.5,8.585382e-11,7.386152e-11,9.7924e-11,8.149624e-11
391.0,8.47029e-11,7.476445e-11,8.943237e-11,8.199632e-11
391.5,7.897161e-11,8.27561e-11,8.686537e-11,7.108707e-11
392.0,7.92792e-11,7.491111e-11,9.823075e-11,7.591598e-11
392.5,7.178474e-11,7.357696e-11,9.012086e-11,8.508966e-11
393.0,8.589532e-11,7.470386e-11,7.531015e-11,8.139987e-11
393.5,8.585032e-11,7.121222e-11,8.16941e-11,8.654059e-11
394.0,8.228015e-11,8.427935e-11,7.504626e-11,8.60404e-11
394.5,7.750182e-11,8.017399e-11,7.775035e-11,7.340923e-11
395.0,8.342751e-11,7.21517e-11,7.816905e-11,7.546472e-11
395.5,9.035588e-11,7.189448e-11,7.664114e-11,8.220194e-11
396.0,8.551163e-11,7.646575e-11,7.688782e-11,8.74039e-11
396.5,7.778545e-11,7.835292e-11,7.405284e-11,7.816e-11
397.0,7.539126e-11,7.217157e-11,7.286543e-11,7.77519e-11
397.5,7.297588e-11,7.526044e-11,8.11905e-11,7.043361e-11
398.0,7.735887e-11,6.319971e-11,7.539998e-11,8.837831e-11
398.5,7.615641e-11,6.852677e-11,8.652416e-11,7.908501e-11
399.0,8.607989e-11,7.99271e-11,8.585031e-11,7.940209e-11
399.5,7.610295e-11,7.586503e-11,6.85558e-11,7.118568e-11
400.0,6.654279e-11,7.667877e-11,7.541365e-11,6.88287e-11
