Hz,180N,180m,180s,180NE
107.0,4.214455e-10,4.625604e-10,3.713558e-10,4.165437e-10
107.5,4.204981e-10,4.181074e-10,3.991881e-10,4.848075e-10
108.0,4.341532e-10,3.895566e-10,4.314183e-10,4.292249e-10
108.5,4.406983e-10,3.311777e-10,4.028743e-10,3.72259e-10
109.0,4.185156e-10,3.297058e-10,4.001189e-10,4.00482e-10
109.5,4.101616e-10,3.520252e-10,3.91971e-10,4.726581e-10
110.0,4.187752e-10,4.320521e-10,3.196533e-10,4.408665e-10
110.5,4.212245e-10,4.954895e-10,3.244406e-10,4.295308e-10
111.0,4.168066e-10,4.432564e-10,3.857435e-10,4.125436e-10
111.5,4.397149e-10,4.169106e-10,4.188006e-10,3.984653e-10
112.0,3.940876e-10,4.15964e-10,4.185259e-10,3.3669e-10
112.5,4.29211e-10,4.468217e-10,4.554465e-10,3.996148e-10
113.0,3.641429e-10,4.276303e-10,4.234324e-10,4.310529e-10
113.5,3.877055e-10,3.889887e-10,4.482266e-10,3.925925e-10
114.0,4.392953e-10,3.556084e-10,4.160761e-10,4.183236e-10
114.5,4.069235e-10,3.683312e-10,3.950484e-10,3.623465e-10
115.0,4.06533e-10,4.814427e-10,4.510063e-10,3.556869e-10
115.5,3.899467e-10,4.050614e-10,4.814055e-10,3.856036e-10
116.0,3.211506e-10,4.137871e-10,3.784709e-10,3.882341e-10
116.5,3.322608e-10,4.23914e-10,3.935746e-10,3.806963e-10
117.0,3.590082e-10,3.914179e-10,4.231321e-10,3.769885e-10
117.5,4.156345e-10,4.251306e-10,3.695726e-10,3.641084e-10
118.0,3.351057e-10,4.643853e-10,3.806382e-10,3.595147e-10
118.5,3.684544e-10,4.08558e-10,4.087929e-10,4.013864e-10
119.0,4.081438e-10,4.198498e-10,3.766185e-10,3.90675e-10
119.5,3.841328e-10,4.468203e-10,3.244865e-10,5.644196e-10
120.0,4.020176e-10,4.346e-10,3.280918e-10,9.782019e-10
120.5,4.001479e-10,3.65408e-10,3.19183e-10,5.951803e-10
121.0,3.873695e-10,4.003027e-10,3.649902e-10,3.341676e-10
121.5,3.757827e-10,3.477649e-10,3.680294e-10,3.620633e-10
122.0,4.00795e-10,3.774196e-10,3.780084e-10,3.649997e-10
122.5,3.801229e-10,3.96343e-10,3.647989e-10,3.112855e-10
123.0,3.637214e-10,4.118653e-10,4.022395e-10,2.959906e-10
123.5,3.953332e-10,4.088578e-10,3.58189e-10,3.420128e-10
124.0,3.565637e-10,3.931664e-10,3.572055e-10,3.745302e-10
124.5,3.643007e-10,4.330941e-10,3.764139e-10,3.684134e-10
125.0,3.285885e-10,4.427368e-10,3.85165e-10,3.467975e-10
125.5,3.337796e-10,3.860687e-10,3.639839e-10,3.379252e-10
126.0,3.452857e-10,3.57365e-10,4.095143e-10,3.40753e-10
126.5,3.552341e-10,3.542479e-10,3.704943e-10,3.731024e-10
127.0,3.650213e-10,3.806012e-10,3.277075e-10,4.01979e-10
127.5,3.646288e-10,3.91105e-10,3.321703e-10,3.777562e-10
128.0,3.116256e-10,3.586293e-10,3.87816e-10,3.154663e-10
128.5,2.807154e-10,2.617922e-10,3.544251e-10,3.002998e-10
129.0,2.83114e-10,3.063508e-10,3.119164e-10,2.536667e-10
129.5,3.272144e-10,3.459062e-10,3.184474e-10,3.082458e-10
130.0,3.19514e-10,3.228308e-10,3.247131e-10,3.687639e-10
130.5,3.1581e-10,2.775892e-10,3.044792e-10,3.427812e-10
131.0,3.116119e-10,3.085059e-10,3.14543e-10,3.52813e-10
131.5,3.497281e-10,3.680226e-10,3.495558e-10,3.405778e-10
132.0,3.3367e-10,3.700963e-10,3.878642e-10,3.350078e-10
132.5,2.927569e-10,3.727381e-10,3.801826e-10,3.485027e-10
133.0,2.953457e-10,3.007097e-10,3.211037e-10,3.641449e-10
133.5,3.152251e-10,3.363559e-10,2.947701e-10,3.612926e-10
134.0,3.475016e-10,3.194535e-10,3.614954e-10,3.664556e-10
134.5,3.514989e-10,3.002618e-10,3.348254e-10,3.534565e-10
135.0,3.165994e-10,3.253049e-10,2.714199e-10,3.749649e-10
135.5,3.256314e-10,3.123776e-10,3.393819e-10,3.655213e-10
136.0,2.960278e-10,3.284761e-10,3.33877e-10,3.914831e-10
136.5,2.939896e-10,3.294834e-10,3.083031e-10,3.94067e-10
137.0,3.202737e-10,3.152406e-10,2.604591e-10,3.956725e-10
137.5,3.194675e-10,3.072003e-10,2.585019e-10,3.790137e-10
138.0,3.097508e-10,3.229722e-10,3.111353e-10,4.396197e-10
138.5,3.667892e-10,3.189937e-10,3.030345e-10,5.060731e-10
139.0,3.655493e-10,3.408915e-10,2.913456e-10,5.61221e-10
139.5,3.440558e-10,3.445285e-10,3.320406e-10,4.869317e-10
140.0,3.250265e-10,3.173551e-10,3.443634e-10,4.270153e-10
140.5,2.741099e-10,2.931706e-10,3.348119e-10,4.698751e-10
141.0,2.966171e-10,2.799026e-10,3.457257e-10,5.730873e-10
141.5,3.069358e-10,3.122497e-10,3.279983e-10,5.599828e-10
142.0,3.326271e-10,3.008988e-10,3.508474e-10,5.830714e-10
142.5,3.385522e-10,3.282164e-10,3.126626e-10,6.037368e-10
143.0,3.132543e-10,3.324151e-10,2.813188e-10,6.702285e-10
143.5,3.053227e-10,3.231284e-10,2.903349e-10,6.432599e-10
144.0,2.97914e-10,3.420709e-10,2.974679e-10,6.158352e-10
144.5,2.997861e-10,3.228814e-10,3.143203e-10,6.32518e-10
145.0,2.69475e-10,3.167885e-10,3.105878e-10,6.787391e-10
145.5,3.055779e-10,3.10709e-10,3.056403e-10,7.156293e-10
146.0,3.750665e-10,2.802796e-10,2.910708e-10,7.411976e-10
146.5,3.630575e-10,2.941466e-10,3.018541e-10,7.403102e-10
147.0,3.073784e-10,3.131411e-10,3.17525e-10,7.222332e-10
147.5,3.344303e-10,2.912415e-10,3.721119e-10,7.042213e-10
148.0,3.543324e-10,3.042133e-10,3.580166e-10,5.495251e-10
148.5,3.544593e-10,3.097785e-10,3.655726e-10,4.684056e-10
149.0,3.077204e-10,2.841797e-10,3.418335e-10,4.362725e-10
149.5,3.420759e-10,3.093911e-10,3.748272e-10,5.086659e-10
150.0,4.058835e-10,3.021422e-10,3.971297e-10,5.021802e-10
150.5,4.1066e-10,2.977088e-10,3.264424e-10,4.741922e-10
151.0,4.240582e-10,3.023003e-10,3.182453e-10,4.3536e-10
151.5,4.009298e-10,2.904303e-10,3.64744e-10,4.102974e-10
152.0,3.968199e-10,3.231959e-10,4.599048e-10,3.872199e-10
152.5,4.672335e-10,3.103683e-10,5.395595e-10,4.199792e-10
153.0,3.705435e-10,2.869685e-10,4.99989e-10,3.534115e-10
153.5,3.87523e-10,2.946785e-10,4.996903e-10,2.949277e-10
154.0,4.275543e-10,2.944201e-10,5.522472e-10,2.95628e-10
154.5,4.074511e-10,3.372187e-10,5.163557e-10,3.379691e-10
155.0,4.550415e-10,3.538298e-10,5.671617e-10,3.348849e-10
155.5,4.139058e-10,3.320252e-10,5.869109e-10,3.097727e-10
156.0,3.772349e-10,3.150508e-10,5.631977e-10,3.00153e-10
156.5,4.096903e-10,3.386845e-10,5.534943e-10,2.819067e-10
157.0,4.776807e-10,3.287775e-10,6.299332e-10,2.475087e-10
157.5,5.06359e-10,2.923093e-10,5.931908e-10,2.466588e-10
158.0,4.942058e-10,2.977402e-10,6.129046e-10,2.687865e-10
158.5,5.663597e-10,3.662722e-10,6.117157e-10,2.862643e-10
159.0,5.317251e-10,3.474282e-10,6.19213e-10,2.682471e-10
159.5,6.019825e-10,4.059871e-10,6.16858e-10,2.326492e-10
160.0,7.02898e-10,4.481739e-10,6.74582e-10,2.585478e-10
160.5,7.424064e-10,5.003199e-10,6.743715e-10,2.597627e-10
161.0,6.791984e-10,5.348636e-10,4.933577e-10,2.485682e-10
161.5,6.830692e-10,4.822378e-10,4.775818e-10,2.535803e-10
162.0,5.958485e-10,4.991941e-10,5.304716e-10,2.593466e-10
162.5,5.184238e-10,5.068256e-10,5.252099e-10,2.345126e-10
163.0,5.003414e-10,4.539487e-10,4.426919e-10,2.182972e-10
163.5,4.923022e-10,4.66949e-10,4.104868e-10,2.371435e-10
164.0,4.608825e-10,4.734933e-10,3.855535e-10,2.634926e-10
164.5,4.32077e-10,4.808043e-10,4.476332e-10,2.575002e-10
165.0,3.857874e-10,4.71879e-10,4.393702e-10,2.382685e-10
165.5,4.356799e-10,5.228409e-10,3.942857e-10,2.475205e-10
166.0,4.388443e-10,5.182588e-10,3.725373e-10,2.013663e-10
166.5,3.805506e-10,6.406393e-10,3.801459e-10,2.227261e-10
167.0,3.561186e-10,6.154744e-10,3.551726e-10,2.377926e-10
167.5,3.375176e-10,5.962636e-10,3.224277e-10,2.265054e-10
168.0,3.465204e-10,4.872435e-10,3.241668e-10,2.292688e-10
168.5,3.39034e-10,4.896361e-10,2.969775e-10,2.511061e-10
169.0,3.173509e-10,5.070646e-10,2.596122e-10,2.270296e-10
169.5,3.159395e-10,4.395433e-10,2.335918e-10,2.182774e-10
170.0,3.011889e-10,4.429632e-10,2.407987e-10,2.380207e-10
170.5,2.67812e-10,4.079074e-10,2.696398e-10,2.547298e-10
171.0,2.527919e-10,4.130176e-10,2.612145e-10,2.245372e-10
171.5,2.642121e-10,4.045857e-10,2.506289e-10,2.162222e-10
172.0,2.299846e-10,4.202715e-10,2.417063e-10,2.068787e-10
172.5,2.009761e-10,4.569778e-10,2.309607e-10,2.217243e-10
173.0,2.407856e-10,3.738088e-10,2.11877e-10,2.301951e-10
173.5,2.478882e-10,3.560198e-10,2.230676e-10,2.008787e-10
174.0,2.394774e-10,3.574881e-10,2.591556e-10,1.873665e-10
174.5,2.087347e-10,3.699629e-10,2.705285e-10,2.042127e-10
175.0,2.266574e-10,3.584965e-10,2.560819e-10,2.183039e-10
175.5,2.316358e-10,2.754572e-10,2.064417e-10,2.292467e-10
176.0,2.337237e-10,2.487096e-10,2.0446e-10,2.164387e-10
176.5,2.758777e-10,2.992623e-10,2.179782e-10,1.917463e-10
177.0,2.212671e-10,3.096741e-10,2.084253e-10,2.401759e-10
177.5,1.981798e-10,2.714275e-10,2.208987e-10,2.265994e-10
178.0,1.978264e-10,2.355985e-10,2.117404e-10,2.247949e-10
178.5,2.337697e-10,2.538121e-10,2.344942e-10,2.384063e-10
179.0,2.332262e-10,2.19258e-10,2.257571e-10,1.899747e-10
179.5,2.070276e-10,1.944308e-10,2.443499e-10,1.92709e-10
180.0,1.996249e-10,2.287138e-10,2.604973e-10,2.145708e-10
180.5,2.106288e-10,2.810982e-10,2.403788e-10,2.200631e-10
181.0,2.00687e-10,2.427648e-10,2.010161e-10,2.066902e-10
181.5,1.98498e-10,2.235185e-10,1.872057e-10,2.19109e-10
182.0,1.898052e-10,2.29384e-10,1.96367e-10,2.476229e-10
182.5,2.240726e-10,2.025787e-10,2.143083e-10,2.288534e-10
183.0,2.549977e-10,2.071169e-10,2.14101e-10,2.156402e-10
183.5,2.27962e-10,2.373981e-10,2.374345e-10,2.071994e-10
184.0,2.102969e-10,2.177286e-10,2.280245e-10,2.129302e-10
184.5,1.880153e-10,2.103929e-10,2.186518e-10,2.20852e-10
185.0,1.963025e-10,2.144971e-10,1.967861e-10,2.013256e-10
185.5,1.724921e-10,2.100787e-10,1.910127e-10,1.773043e-10
186.0,1.94574e-10,1.873965e-10,2.117856e-10,1.911744e-10
186.5,2.183249e-10,2.075802e-10,2.116172e-10,2.216312e-10
187.0,2.275686e-10,2.336657e-10,2.145307e-10,2.176056e-10
187.5,2.206059e-10,2.387167e-10,2.227921e-10,2.12174e-10
188.0,1.942216e-10,2.094051e-10,2.122688e-10,2.269992e-10
188.5,1.805428e-10,2.12287e-10,2.161247e-10,2.07684e-10
189.0,1.985538e-10,2.066245e-10,2.119805e-10,1.873105e-10
189.5,2.185967e-10,2.270536e-10,1.954416e-10,2.104222e-10
190.0,1.907762e-10,2.315827e-10,1.93995e-10,2.018453e-10
190.5,1.843158e-10,2.153439e-10,2.035131e-10,2.094827e-10
191.0,2.000127e-10,2.264936e-10,1.860107e-10,1.968694e-10
191.5,1.939794e-10,2.035076e-10,2.108686e-10,1.683993e-10
192.0,1.822974e-10,1.699827e-10,2.159734e-10,1.705674e-10
192.5,1.806259e-10,1.889135e-10,1.902598e-10,1.77302e-10
193.0,1.802296e-10,2.099349e-10,1.750226e-10,1.776791e-10
